Station;Station alias;Date established;Date closed;Declared reporting status;Calculated reporting status;Station type;WIGOS Station Identifier(s);WMO Region;Country;Latitude;Longitude;Elevation;Geopositioning method;Time zone;Supervising organization;Station URL;Other link (URL);Site description;Climate zone;Predominant surface cover;Surface roughness;Topography or bathymetry;Population in 10km/50km;Programs/Network affiliation
BANGUI;;1941-01-01;;Operational;Operational;Land (fixed);0-20000-0-64650|primary;Africa;Central African Republic;4.4;18.5166666667;365;;;DMN-RCA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
SARH;;1938-01-01;;Operational;Operational;Land (fixed);0-20000-0-64750|primary;Africa;Chad;9.15;18.3833333333;365;;;DGMN;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
OUESSO;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-64458|primary;Africa;Congo;1.6166666667;16.05;352;;;DMNCOK;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;METAR;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
POINTE-NOIRE;;1941-01-01;;Operational;Operational;Land (fixed);0-20000-0-64400|primary;Africa;Congo;-4.8166666667;11.9;17;;;DMNCOK;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;METAR;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
ABIDJAN;;1941-01-01;;Operational;Operational;Land (fixed);0-20000-0-65578|primary;Africa;Côte d'Ivoire;5.25;-3.9333333333;7;;;DMNCIV;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GUAN;M/B;RBCN;RBSN(ST);RSD;SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
MAN;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-65548|primary;Africa;Côte d'Ivoire;7.3833333333;-7.5166666667;339;;;DMNCIV;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(ST);SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
ASSWAN;;1954-01-01;;Operational;Operational;Land (fixed);0-20000-0-62414|primary;Africa;Egypt;23.9644444444;32.82;201.78;;;EMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;GUAN;OBS. RW IRREG.;OZONE;RAD;RBCN;RBSN(ST);SKYRA;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radiation measurements; Sky radiation measurements; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
EL ARISH;;;;Operational;Operational;Land (fixed);0-20000-0-62337|primary;Africa;Egypt;31.0733333333;33.8358333333;36.88;;;EMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;C;CLIMAT(C);OBS. RW IRREG.;RAD;RBCN;RBSN(ST);SKYRA;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Sky radiation measurements; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
FARAFRA;;1943-01-01;;Operational;Operational;Land (fixed);0-20000-0-62423|primary;Africa;Egypt;27.0583333333;27.9891666667;82.2;;;EMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GAW;OBS. RW IRREG.;RAD;RBCN;RBSN(ST);SKYRA;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Sky radiation measurements; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
HELWAN;;1959-01-01;;Operational;Operational;Land (fixed);0-20000-0-62378|primary;Africa;Egypt;29.8627777778;31.3491666667;139.3;;;EMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;OBS. RW IRREG.;RBCN;RBSN(ST);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
MERSA MATRUH;;1947-01-01;;Operational;Operational;Land (fixed);0-20000-0-62306|primary;Africa;Egypt;31.3252777778;27.2216666667;28.96;;;EMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;OBS. RW IRREG.;OZONE;RAD;RBCN;RBSN(ST);SKYRA;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radiation measurements; Sky radiation measurements; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
SOUTH OF VALLEY UNIVERSITY;;2003-01-01;;Operational;Operational;Land (fixed);0-20000-0-62403|primary;Africa;Egypt;26.2002777778;32.7466666667;95.99;;;EMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GAW;RAD;RBCN;RBSN(ST);RW OBS. TEMPOR. DISCONTINUED/RW OBS. TEMPOR. SUSPENDUES;SKYRA;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Sky radiation measurements; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
ASMARA;;1949-01-01;;Operational;Operational;Land (fixed);0-20000-0-63021|primary;Africa;Eritrea;15.2833333333;38.9166666667;;;;CAAERI;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(ST);SOILTEMP;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
ADDIS ABABA-BOLE;;1898-01-01;;Operational;Operational;Land (fixed);0-20000-0-63450|primary;Africa;Ethiopia;9.0333333333;38.75;;;;NMSA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);EVAP;GSN;GUAN;METAR;RADSAMP;RBCN;RBSN(ST);SOILTEMP;SOLRA;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling; Solar radiation measurements; Total radiation measurements.";;;;;;CLIMAT(C):Operational, CTBTO:Planned, GCW:Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
PORT-AUX-FRANCAIS (ILES KERGUELEN);;1950-01-01;;Operational;Operational;Land (fixed);0-20000-0-61998|primary;Africa;France;-49.3522222222;70.2433333333;29;;;MF;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: ANTON;ANTON(T);AUT;C;CLIMAT(C);GSN;GUAN;MAN/AUT*;RAD;RBCN;RBSN(ST);SOILTEMP;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.";;;;;;ANTON:Operational, ANTON(T):Operational, CLIMAT(C):Operational, CTBTO:Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
SAINT-DENIS/GILLOT (REUNION);;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-61980|primary;Africa;France;-20.8925;55.5286111111;20;;;MF;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);GUAN;MAN/AUT*;METAR;RAD;RBCN;RBSN(ST);SEA;SOILTEMP;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; State of sea observations.";;;;;;CLIMAT(C):Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
LIBREVILLE;;1896-01-01;;Operational;Operational;Land (fixed);0-20000-0-64500|primary;Africa;Gabon;0.45;9.4166666667;12;;;DGMGAB;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;METAR;RAREP;RBCN;RBSN(ST);RSD;SOILTEMP;SOLRA;SPECI;SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
TAMALE;;1921-01-01;;Operational;Operational;Land (fixed);0-20000-0-65418|primary;Africa;Ghana;9.55;-0.85;168.8;;;GMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(ST);SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
CONAKRY;;1976-01-01;;Operational;Operational;Land (fixed);0-20000-0-61831|primary;Africa;Guinea;9.5666666667;-13.6166666667;49;;;DMNGIN;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
DAGORETTI CORNER;;1949-01-01;;Operational;Operational;Land (fixed);0-20000-0-63741|primary;Africa;Kenya;-1.3036111111;36.7597222222;1798.32;;UTC;KMD;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GUAN;HU/FC;RBCN;SKYRA;SOILTEMP;SUNDUR;TOTRA{025};WR OR/OU WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, GUAN:Operational, RBCN:Operational
BENINA;;1945-01-01;;Operational;Operational;Land (fixed);0-20000-0-62053|primary;Africa;Libya;32.1;20.2666666667;131;;;LNMC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;METAR;RBCN;RBSN(ST);SPECI;STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";Warm temperate - Dry and hot summer;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
GHADAMES;;1944-01-01;;Operational;Operational;Land (fixed);0-20000-0-62103|primary;Africa;Libya;30.1108333333;9.4905555555;347;;;LNMC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(ST);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational, RBSN(T):Operational
TRIPOLI UPPER AIR STATION;SWANI;2001-01-01;;Operational;Operational;Land (fixed);0-20001-0-62010|primary;Africa;Libya;32.7405555556;13.0819444444;64;;;LNMC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, RBSN(T):Operational
ANTANANARIVO/IVATO;;1941-01-01;;Operational;Operational;Land (fixed);0-20000-0-67083|primary;Africa;Madagascar;-18.8;47.4833333333;1279;;;MeteoMadagascar;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;GUAN;METAR;RBCN;RBSN(ST);RSD;SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
TAOLAGNARO;;1903-01-01;;Operational;Operational;Land (fixed);0-20000-0-67197|primary;Africa;Madagascar;-25.0333333333;46.95;8;;;MeteoMadagascar;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
LILONGWE INT'L AIRPORT;;1981-01-01;;Operational;Operational;Land (fixed);0-20000-0-67586|primary;Africa;Malawi;-13.7833333333;33.7666666667;1229;;;MetMalawi;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;RBCN;RBSN(ST);RSD;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
BAMAKO/SENOU;;1975-01-01;;Operational;Operational;Land (fixed);0-20000-0-61291|primary;Africa;Mali;12.5333333333;-7.95;380;;;MaliMeteo;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(ST);RSD;SOILTEMP;SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
TESSALIT;;1947-01-01;;Operational;Operational;Land (fixed);0-20000-0-61202|primary;Africa;Mali;20.2;0.9833333333;494;;;MaliMeteo;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(ST);SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
TOMBOUCTOU;;1897-01-01;;Operational;Operational;Land (fixed);0-20000-0-61223|primary;Africa;Mali;16.7166666667;-3;263;;;MaliMeteo;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(ST);SOILTEMP;SOLRA;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
NOUADHIBOU;;1941-01-01;;Operational;Operational;Land (fixed);0-20000-0-61415|primary;Africa;Mauritania;20.9202777777;-17.0363888888;0.58;;;ONMMRT;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
NOUAKCHOTT / Oumtounsy;;1941-01-01;;Operational;Operational;Land (fixed);0-20000-0-61442|primary;Africa;Mauritania;18.300265;-15.975435;2.74;From map;;ONMMRT;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CTBTO:Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
VACOAS (MAURITIUS);;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-61995|primary;Africa;Mauritius;-20.2975;57.4947222222;423;;;MSM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;GUAN;RBCN;RBSN(ST);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
AGADIR AL MASSIRA;;1990-01-01;;Operational;Operational;Land (fixed);0-20000-0-60252|primary;Africa;Morocco;30.3288888889;-9.3994444444;74;;;DMNM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(ST);SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
BENI-MELLAL;;1970-01-01;;Operational;Operational;Land (fixed);0-20000-0-60191|primary;Africa;Morocco;32.3666666667;-6.4;468;;;DMNM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;GOS:Operational, RBSN(S):Operational
CASABLANCA;;1911-01-01;;Operational;Operational;Land (fixed);0-20000-0-60155|primary;Africa;Morocco;33.5666666667;-7.6666666667;56;GPS;;DMNM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;OZONE;RBCN;RBSN(ST);SOILTEMP;SUNDUR;TOTRA;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Ozone observations; Total radiation measurements.";;;;;500|2000;CLIMAT(C):Operational, Centennial Observing Stations:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
DAKHLA;;1980-08-14;;Operational;Operational;Land (fixed);0-20000-0-60096|primary;Africa;Morocco;23.7111111111;-15.9308333333;11;GPS;;DMNM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
MAPUTO/MAVALANE;;1910-01-01;;Operational;Operational;Land (fixed);0-20000-0-67341|primary;Africa;Mozambique;-25.9166666667;32.5666666667;39;;;INAM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;HU/FC;MAGNET;METAR;RAREP;RBCN;RBSN(ST);RSD;SKYRA;SOLRA;SPECI;SUNDUR;TOTRA;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection; Sky radiation measurements; Solar radiation measurements; T";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
NAMPULA;;1957-01-01;;Operational;Operational;Land (fixed);0-20000-0-67237|primary;Africa;Mozambique;-15.1;39.2833333333;438;;;INAM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;MAGNET;METAR;RBCN;RBSN(ST);RSD;SEISMO;SKYRA;SOILTEMP;SPECI;SUNDUR;TOTRA;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection; Seismological observations; Sky radiation measurements; Total";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
WINDHOEK;;1921-01-01;;Operational;Operational;Land (fixed);0-20000-0-68110|primary;Africa;Namibia;-22.5666666667;17.1;1725;;;Meteona;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;GUAN;MAN/AUT;RBCN;RBSN(ST);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
NIAMEY-AERO;;1944-01-01;;Operational;Operational;Land (fixed);0-20000-0-61052|primary;Africa;Niger;13.4833333333;2.1666666667;223;;;DNMNER;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GUAN;M/B;RBCN;RBSN(ST);SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
ABUJA;;1989-01-01;;Operational;Operational;Land (fixed);0-20000-0-65125|primary;Africa;Nigeria;9.25;7;;;;NMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
